gene1_Label	gene1_start	gene1_end	gene1_reference	Atf1_Transcription_Factor1_Label	Atf1_Transcription_Factor167_Offset
gene-LOC550966	11233449	11235852	NC_037642.1	Atf1_3185	66
gene-LOC550966	11233449	11235852	NC_037642.1	Atf1_3186	-45
gene-LOC552383	11427484	11428501	NC_037642.1	Atf1_3169	61
gene-LOC552383	11427484	11428501	NC_037642.1	Atf1_3170	-46
gene-LOC411114	11306645	11337336	NC_037642.1	Atf1_3180	7
gene-LOC552025	10994561	10996779	NC_037642.1	Atf1_3187	-84
gene-LOC411890	11356810	11360823	NC_037642.1	Atf1_3178	40
gene-LOC411891	11362243	11366826	NC_037642.1	Atf1_3177	37
gene-LOC107964461	11469989	11472671	NC_037642.1	Atf1_3161	66
gene-LOC725774	12096522	12097168	NC_037642.1	Atf1_3146	-77
gene-LOC551831	12046543	12048418	NC_037642.1	Atf1_3148	61
gene-LOC551831	12046543	12048418	NC_037642.1	Atf1_3149	64
gene-LOC113218764	11939931	11940745	NC_037642.1	Atf1_3154	1
gene-LOC113218764	11939931	11940745	NC_037642.1	Atf1_3155	15
gene-LOC113218764	11939931	11940745	NC_037642.1	Atf1_3156	-73
gene-LOC725963	12113360	12116928	NC_037642.1	Atf1_3144	-70
gene-LOC100576277	11471579	11476397	NC_037642.1	Atf1_3160	25
gene-LOC412097	12104335	12110865	NC_037642.1	Atf1_3145	-19
gene-LOC102654127	11435262	11438841	NC_037642.1	Atf1_3166	58
gene-LOC102654127	11435262	11438841	NC_037642.1	Atf1_3167	31
gene-LOC725551	12023439	12036629	NC_037642.1	Atf1_3150	72
gene-LOC412232	11441082	11444363	NC_037642.1	Atf1_3164	26
gene-LOC412232	11441082	11444363	NC_037642.1	Atf1_3165	-54
gene-LOC100577128	12083815	12085215	NC_037642.1	Atf1_3147	-74
gene-LOC725038	11731149	11734070	NC_037642.1	Atf1_3159	29
gene-LOC412286	11954652	11956198	NC_037642.1	Atf1_3152	-13
gene-LOC107964405	12004919	12005791	NC_037642.1	Atf1_3151	63
gene-LOC552430	11433323	11438706	NC_037642.1	Atf1_3168	-24
gene-LOC100576287	11934595	11937325	NC_037642.1	Atf1_3157	-3
gene-LOC725148	11944813	11949887	NC_037642.1	Atf1_3153	-79
gene-LOC552513	11746220	11759189	NC_037642.1	Atf1_3158	8
gene-LOC411381	12689532	12695575	NC_037642.1	Atf1_3135	9
gene-LOC102655438	12787943	12828503	NC_037642.1	Atf1_3127	45
gene-LOC100576404	12528665	12533153	NC_037642.1	Atf1_3140	88
gene-LOC100576404	12528665	12533153	NC_037642.1	Atf1_3141	-27
gene-LOC113218759	12632337	12633703	NC_037642.1	Atf1_3138	-40
gene-LOC102656120	12692763	12695219	NC_037642.1	Atf1_3134	-66
gene-LOC724170	12702059	12703974	NC_037642.1	Atf1_3133	52
gene-LOC411122	12201040	12207432	NC_037642.1	Atf1_3143	58
gene-LOC552696	12708837	12711366	NC_037642.1	Atf1_3132	-30
gene-LOC102654095	12543965	12546728	NC_037642.1	Atf1_3139	-82
gene-LOC724654	12759075	12760360	NC_037642.1	Atf1_3130	-52
gene-LOC413686	12732873	12733989	NC_037642.1	Atf1_3131	34
gene-LOC413684	12762373	12768427	NC_037642.1	Atf1_3128	-57
gene-LOC413684	12762373	12768427	NC_037642.1	Atf1_3129	18
gene-LOC100576346	12656418	12662865	NC_037642.1	Atf1_3136	-88
gene-LOC552325	12652730	12655444	NC_037642.1	Atf1_3137	42
gene-LOC100576848	12215922	12218777	NC_037642.1	Atf1_3142	56
gene-LOC102656766	13209284	13213029	NC_037642.1	Atf1_3114	-96
gene-LOC412487	13076822	13079435	NC_037642.1	Atf1_3124	-17
gene-LOC409979	13059516	13063291	NC_037642.1	Atf1_3126	45
gene-LOC100576966	13252952	13255128	NC_037642.1	Atf1_3111	32
gene-LOC100576966	13252952	13255128	NC_037642.1	Atf1_3112	71
gene-LOC100577646	13226158	13230748	NC_037642.1	Atf1_3113	64
gene-LOC726737	13084873	13089155	NC_037642.1	Atf1_3121	-84
gene-LOC726737	13084873	13089155	NC_037642.1	Atf1_3122	15
gene-LOC726737	13084873	13089155	NC_037642.1	Atf1_3123	-70
gene-LOC552767	13119788	13121128	NC_037642.1	Atf1_3118	49
gene-LOC725552	13121189	13140929	NC_037642.1	Atf1_3117	36
gene-LOC100576207	13196701	13198002	NC_037642.1	Atf1_3115	91
gene-LOC413588	13069645	13071422	NC_037642.1	Atf1_3125	85
gene-LOC727246	13264503	13277768	NC_037642.1	Atf1_3110	-52
gene-LOC413166	13111044	13114226	NC_037642.1	Atf1_3119	82
gene-LOC413166	13111044	13114226	NC_037642.1	Atf1_3120	36
gene-LOC725798	13332309	13334429	NC_037642.1	Atf1_3105	-19
gene-LOC552786	13387633	13389894	NC_037642.1	Atf1_3104	19
gene-LOC726894	13640034	13641014	NC_037642.1	Atf1_3089	31
gene-LOC113218802	13414592	13418199	NC_037642.1	Atf1_3100	-43
gene-LOC113218802	13414592	13418199	NC_037642.1	Atf1_3101	5
gene-LOC113218802	13414592	13418199	NC_037642.1	Atf1_3102	3
gene-LOC411125	13488445	13492294	NC_037642.1	Atf1_3095	-92
gene-LOC552810	13465260	13473424	NC_037642.1	Atf1_3096	17
gene-LOC552810	13465260	13473424	NC_037642.1	Atf1_3097	29
gene-LOC412580	13446998	13449812	NC_037642.1	Atf1_3098	9
gene-LOC412580	13446998	13449812	NC_037642.1	Atf1_3099	61
gene-LOC411134	13595912	13598861	NC_037642.1	Atf1_3093	67
gene-LOC413870	13620902	13627441	NC_037642.1	Atf1_3091	64
gene-LOC413870	13620902	13627441	NC_037642.1	Atf1_3092	92
gene-LOC410096	13633080	13637495	NC_037642.1	Atf1_3090	-63
gene-LOC102653584	13316358	13317760	NC_037642.1	Atf1_3106	40
gene-LOC113218803	13294851	13298000	NC_037642.1	Atf1_3107	-94
gene-LOC113218803	13294851	13298000	NC_037642.1	Atf1_3108	-87
gene-LOC113218803	13294851	13298000	NC_037642.1	Atf1_3109	72
gene-LOC411738	13395382	13414449	NC_037642.1	Atf1_3103	-80
gene-LOC411133	13540896	13561269	NC_037642.1	Atf1_3094	-55
gene-LOC100578736	13641300	13644643	NC_037642.1	Atf1_3088	-38
gene-LOC113218810	13796874	13798984	NC_037642.1	Atf1_3085	-40
gene-LOC552840	13676270	13677738	NC_037642.1	Atf1_3086	-59
gene-LOC552840	13676270	13677738	NC_037642.1	Atf1_3087	77
gene-LOC409500	13888314	13889536	NC_037642.1	Atf1_3081	-5
gene-LOC727009	13859506	13861566	NC_037642.1	Atf1_3082	22
gene-LOC727009	13859506	13861566	NC_037642.1	Atf1_3083	-58
gene-LOC412550	13829844	13832367	NC_037642.1	Atf1_3084	9
gene-LOC413154	599543	602842	NC_037643.1	Atf1_3074	-41
gene-LOC113218872	54598	55439	NC_037643.1	Atf1_3079	-16
gene-LOC113218872	54598	55439	NC_037643.1	Atf1_3080	43
gene-LOC411980	1648703	1656651	NC_037643.1	Atf1_3070	-53
gene-LOC411980	1648703	1656651	NC_037643.1	Atf1_3071	-9
gene-LOC411980	1648703	1656651	NC_037643.1	Atf1_3072	-74
gene-LOC552089	570365	572924	NC_037643.1	Atf1_3076	-100
gene-LOC724666	579170	581132	NC_037643.1	Atf1_3075	-22
gene-LOC413204	1643460	1646002	NC_037643.1	Atf1_3073	20
gene-LOC411609	1665444	1669870	NC_037643.1	Atf1_3069	40
gene-LOC413796	1686338	1691694	NC_037643.1	Atf1_3068	23
gene-LOC552301	546159	548872	NC_037643.1	Atf1_3077	90
gene-LOC552301	546159	548872	NC_037643.1	Atf1_3078	83
gene-LOC409908	2389202	2414071	NC_037643.1	Atf1_3055	66
gene-LOC551512	2959801	2963324	NC_037643.1	Atf1_3053	86
gene-LOC113218844	2058473	2081131	NC_037643.1	Atf1_3059	82
gene-LOC725629	1823070	1832077	NC_037643.1	Atf1_3064	-45
gene-LOC725629	1823070	1832077	NC_037643.1	Atf1_3065	-66
gene-LOC411793	1871117	1872975	NC_037643.1	Atf1_3061	-51
gene-LOC102656504	2966030	2969445	NC_037643.1	Atf1_3052	-42
gene-LOC411183	2054022	2055597	NC_037643.1	Atf1_3060	64
gene-LOC552342	2359636	2382954	NC_037643.1	Atf1_3056	76
gene-LOC726290	1812119	1816233	NC_037643.1	Atf1_3066	-69
gene-LOC411182	2339473	2346676	NC_037643.1	Atf1_3057	78
gene-LOC409842	2955447	2957903	NC_037643.1	Atf1_3054	-63
gene-LOC113218881	1808755	1809610	NC_037643.1	Atf1_3067	49
gene-LOC552306	1837558	1838723	NC_037643.1	Atf1_3063	58
gene-LOC107964568	3000460	3001044	NC_037643.1	Atf1_3050	-92
gene-LOC107964568	3000460	3001044	NC_037643.1	Atf1_3051	95
gene-LOC409786	4243002	4432280	NC_037643.1	Atf1_3032	-60
gene-LOC724892	3593358	3595764	NC_037643.1	Atf1_3046	-40
gene-LOC102654621	3596245	3598527	NC_037643.1	Atf1_3044	-45
gene-LOC102654621	3596245	3598527	NC_037643.1	Atf1_3045	3
gene-LOC113218846	3687706	3690878	NC_037643.1	Atf1_3037	69
gene-LOC413043	3681373	3684937	NC_037643.1	Atf1_3038	-99
gene-LOC413043	3681373	3684937	NC_037643.1	Atf1_3039	-84
gene-LOC413043	3681373	3684937	NC_037643.1	Atf1_3040	-53
gene-LOC413043	3681373	3684937	NC_037643.1	Atf1_3041	24
gene-LOC102654897	3591802	3593001	NC_037643.1	Atf1_3047	82
gene-LOC725017	3658723	3664761	NC_037643.1	Atf1_3042	100
gene-LOC100577393	3804322	3960476	NC_037643.1	Atf1_3033	-68
gene-LOC100577393	3804322	3960476	NC_037643.1	Atf1_3034	22
gene-LOC724565	3145514	3148360	NC_037643.1	Atf1_3048	-78
gene-LOC113218821	3737119	3740104	NC_037643.1	Atf1_3035	-56
gene-LOC113218821	3737119	3740104	NC_037643.1	Atf1_3036	-44
gene-LOC113218830	3654893	3657448	NC_037643.1	Atf1_3043	84
gene-LOC107964569	3026216	3031255	NC_037643.1	Atf1_3049	-75
gene-LOC412522	4798017	4800076	NC_037643.1	Atf1_3030	-35
gene-LOC107964592	5130760	5134541	NC_037643.1	Atf1_3020	-39
gene-LOC552046	5146436	5154684	NC_037643.1	Atf1_3017	86
gene-LOC552046	5146436	5154684	NC_037643.1	Atf1_3018	42
gene-LOC552046	5146436	5154684	NC_037643.1	Atf1_3019	30
gene-LOC413126	4844246	4853957	NC_037643.1	Atf1_3025	-55
gene-LOC409448	5321606	5341371	NC_037643.1	Atf1_3007	-31
gene-LOC102653687	5044242	5050364	NC_037643.1	Atf1_3022	93
gene-LOC107964590	5154958	5158108	NC_037643.1	Atf1_3016	-39
gene-LOC102653863	5079439	5125994	NC_037643.1	Atf1_3021	-58
gene-LOC102655655	5263976	5271297	NC_037643.1	Atf1_3008	-89
gene-LOC725964	4908509	4973111	NC_037643.1	Atf1_3023	88
gene-LOC113218841	5258597	5263477	NC_037643.1	Atf1_3011	90
gene-LOC411886	4840545	4843326	NC_037643.1	Atf1_3026	-11
gene-LOC412396	4817447	4819681	NC_037643.1	Atf1_3028	17
gene-LOC412396	4817447	4819681	NC_037643.1	Atf1_3029	-5
gene-LOC412661	4828783	4830468	NC_037643.1	Atf1_3027	-88
gene-LOC409183	5254849	5257635	NC_037643.1	Atf1_3012	-44
gene-LOC409183	5254849	5257635	NC_037643.1	Atf1_3013	85
gene-LOC409441	4867344	4869608	NC_037643.1	Atf1_3024	76
gene-LOC725630	5173608	5176255	NC_037643.1	Atf1_3014	-20
gene-LOC725630	5173608	5176255	NC_037643.1	Atf1_3015	62
gene-LOC100577819	5585898	5588396	NC_037643.1	Atf1_2996	62
gene-LOC724703	5361606	5365983	NC_037643.1	Atf1_3001	23
gene-LOC724703	5361606	5365983	NC_037643.1	Atf1_3002	28
gene-LOC409028	5439235	5444749	NC_037643.1	Atf1_2997	41
gene-LOC413328	5377706	5439142	NC_037643.1	Atf1_2998	-5
gene-LOC413328	5377706	5439142	NC_037643.1	Atf1_2999	2
gene-LOC102655446	5333046	5337691	NC_037643.1	Atf1_3005	46
gene-LOC102655446	5333046	5337691	NC_037643.1	Atf1_3006	9
gene-LOC409452	6595120	6607651	NC_037643.1	Atf1_2984	24
gene-LOC107964603	6514859	6519648	NC_037643.1	Atf1_2988	-57
gene-LOC409897	6576314	6594391	NC_037643.1	Atf1_2985	4
gene-LOC409897	6576314	6594391	NC_037643.1	Atf1_2986	1
gene-LOC551700	5366143	5368790	NC_037643.1	Atf1_3000	20
gene-LOC408896	5865936	6369751	NC_037643.1	Atf1_2990	50
gene-LOC411496	5343129	5359106	NC_037643.1	Atf1_3003	62
gene-LOC411496	5343129	5359106	NC_037643.1	Atf1_3004	-2
gene-LOC409451	6611747	6613808	NC_037643.1	Atf1_2983	62
gene-LOC409899	6522503	6532893	NC_037643.1	Atf1_2987	58
gene-LOC725216	6613644	6619523	NC_037643.1	Atf1_2980	-57
gene-LOC725216	6613644	6619523	NC_037643.1	Atf1_2981	-50
gene-LOC725216	6613644	6619523	NC_037643.1	Atf1_2982	-36
gene-LOC107964597	6130672	6132224	NC_037643.1	Atf1_2989	70
gene-LOC102654110	5730555	5732797	NC_037643.1	Atf1_2991	0
gene-LOC102654110	5730555	5732797	NC_037643.1	Atf1_2992	57
gene-LOC102654110	5730555	5732797	NC_037643.1	Atf1_2993	12
gene-LOC100578421	5665516	5672561	NC_037643.1	Atf1_2994	-45
gene-LOC100578421	5665516	5672561	NC_037643.1	Atf1_2995	33
gene-LOC102654469	6728304	6730811	NC_037643.1	Atf1_2979	-24
gene-LOC551099	6879684	6881374	NC_037643.1	Atf1_2975	33
gene-LOC100578667	6747119	6752145	NC_037643.1	Atf1_2978	37
gene-LOC113218883	6817942	6822190	NC_037643.1	Atf1_2976	29
gene-LOC113218883	6817942	6822190	NC_037643.1	Atf1_2977	39
gene-LOC409292	7164341	7167535	NC_037643.1	Atf1_2968	59
gene-LOC107964649	7000245	7001335	NC_037643.1	Atf1_2974	59
gene-LOC411969	7168337	7173391	NC_037643.1	Atf1_2966	0
gene-LOC411969	7168337	7173391	NC_037643.1	Atf1_2967	25
gene-LOC409810	7058325	7062029	NC_037643.1	Atf1_2973	59
gene-LOC100577422	7313312	7314595	NC_037643.1	Atf1_2964	-91
gene-LOC100577422	7313312	7314595	NC_037643.1	Atf1_2965	44
gene-LOC102655111	7063925	7065695	NC_037643.1	Atf1_2972	-77
gene-LOC725599	7103950	7108524	NC_037643.1	Atf1_2970	18
gene-LOC725599	7103950	7108524	NC_037643.1	Atf1_2971	30
gene-LOC725673	7108819	7113010	NC_037643.1	Atf1_2969	91
gene-LOC100578830	8274603	8290831	NC_037643.1	Atf1_2960	41
gene-LOC408891	8132235	8134544	NC_037643.1	Atf1_2961	43
gene-LOC408889	8472415	8480196	NC_037643.1	Atf1_2959	-82
gene-LOC100576183	7906623	7914830	NC_037643.1	Atf1_2962	-47
gene-LOC100578546	8505275	8507932	NC_037643.1	Atf1_2954	-83
gene-LOC413076	8519241	8632242	NC_037643.1	Atf1_2953	-21
gene-LOC413074	8639071	8644255	NC_037643.1	Atf1_2952	76
gene-LOC725217	8502089	8505430	NC_037643.1	Atf1_2955	4
gene-LOC725217	8502089	8505430	NC_037643.1	Atf1_2956	9
gene-LOC408888	8485218	8498067	NC_037643.1	Atf1_2958	-73
gene-LOC107964622	8493465	8494497	NC_037643.1	Atf1_2957	27
gene-LOC107964581	7783966	7785653	NC_037643.1	Atf1_2963	82
gene-LOC410031	9096202	9104157	NC_037643.1	Atf1_2942	42
gene-LOC727108	9104477	9113030	NC_037643.1	Atf1_2941	-6
gene-LOC551066	9063631	9071392	NC_037643.1	Atf1_2943	-52
gene-LOC411172	8936281	8939151	NC_037643.1	Atf1_2947	-80
gene-LOC411172	8936281	8939151	NC_037643.1	Atf1_2948	66
gene-LOC107964598	8796980	8798294	NC_037643.1	Atf1_2951	80
gene-LOC102654321	8992371	8994644	NC_037643.1	Atf1_2945	-64
gene-LOC102654321	8992371	8994644	NC_037643.1	Atf1_2946	-48
gene-LOC100576304	9256402	9295314	NC_037643.1	Atf1_2939	89
gene-LOC412666	9141485	9143608	NC_037643.1	Atf1_2940	74
gene-LOC724656	9058803	9063481	NC_037643.1	Atf1_2944	33
gene-LOC408886	8826081	8833336	NC_037643.1	Atf1_2950	47
gene-LOC411173	8913922	8936198	NC_037643.1	Atf1_2949	-75
gene-LOC411164	9668896	9673556	NC_037643.1	Atf1_2938	-37
gene-LOC408882	9758307	9763764	NC_037643.1	Atf1_2931	-94
gene-LOC408882	9758307	9763764	NC_037643.1	Atf1_2932	7
gene-LOC408882	9758307	9763764	NC_037643.1	Atf1_2933	14
gene-LOC102654988	9730425	9730853	NC_037643.1	Atf1_2935	19
gene-LOC102654988	9730425	9730853	NC_037643.1	Atf1_2936	58
gene-LOC725218	9727322	9760616	NC_037643.1	Atf1_2934	-5
gene-LOC102655393	9696322	9699248	NC_037643.1	Atf1_2937	80
gene-LOC408878	10855814	10863189	NC_037643.1	Atf1_2927	-95
gene-LOC550968	11859276	11862923	NC_037643.1	Atf1_2924	-67
gene-LOC551803	11116580	11190999	NC_037643.1	Atf1_2926	32
gene-LOC102656730	11977615	11979884	NC_037643.1	Atf1_2922	-91
gene-LOC113218839	11916721	11918909	NC_037643.1	Atf1_2923	33
gene-LOC551749	10849420	10854954	NC_037643.1	Atf1_2928	-88
gene-LOC102653737	11213777	11215597	NC_037643.1	Atf1_2925	87
gene-LOC411154	12958670	12969785	NC_037643.1	Atf1_2906	-37
gene-LOC552387	13042024	13044786	NC_037643.1	Atf1_2898	-17
gene-LOC411692	12997801	13013895	NC_037643.1	Atf1_2903	7
gene-LOC551398	12919034	12925768	NC_037643.1	Atf1_2908	39
gene-LOC552305	13023122	13025711	NC_037643.1	Atf1_2901	89
gene-LOC552305	13023122	13025711	NC_037643.1	Atf1_2902	79
gene-LOC113218829	12149471	12150216	NC_037643.1	Atf1_2919	-76
gene-LOC113218829	12149471	12150216	NC_037643.1	Atf1_2920	79
gene-LOC409336	12189600	12193203	NC_037643.1	Atf1_2913	-66
gene-LOC409336	12189600	12193203	NC_037643.1	Atf1_2914	82
gene-LOC102655311	12835264	12842070	NC_037643.1	Atf1_2911	-44
gene-LOC102655130	12915965	12918552	NC_037643.1	Atf1_2909	-27
gene-LOC551222	12955084	12958146	NC_037643.1	Atf1_2907	-10
gene-LOC102655200	12900537	12902997	NC_037643.1	Atf1_2910	-89
gene-LOC412021	12168342	12170747	NC_037643.1	Atf1_2916	-81
gene-LOC409317	12164958	12168364	NC_037643.1	Atf1_2917	90
gene-LOC409317	12164958	12168364	NC_037643.1	Atf1_2918	100
gene-LOC551046	12985712	12991778	NC_037643.1	Atf1_2904	-70
gene-LOC726081	13032256	13035398	NC_037643.1	Atf1_2899	-48
gene-LOC726081	13032256	13035398	NC_037643.1	Atf1_2900	-85
gene-LOC724516	12112865	12118277	NC_037643.1	Atf1_2921	-54
gene-LOC102655786	12463801	12468069	NC_037643.1	Atf1_2912	-51
gene-LOC552331	12184503	12186974	NC_037643.1	Atf1_2915	78
gene-LOC551087	12980680	12985471	NC_037643.1	Atf1_2905	-57
gene-LOC100578311	13115076	13116573	NC_037643.1	Atf1_2885	-27
gene-LOC100578311	13115076	13116573	NC_037643.1	Atf1_2886	-15
gene-LOC100578311	13115076	13116573	NC_037643.1	Atf1_2887	-17
gene-LOC100576568	13225695	13233194	NC_037643.1	Atf1_2880	-52
gene-LOC100578239	13073931	13082024	NC_037643.1	Atf1_2896	31
gene-LOC100578239	13073931	13082024	NC_037643.1	Atf1_2897	57
gene-LOC550824	13265578	13271177	NC_037643.1	Atf1_2879	-31
gene-LOC411875	13088166	13092471	NC_037643.1	Atf1_2890	2
gene-LOC411875	13088166	13092471	NC_037643.1	Atf1_2891	37
gene-LOC411875	13088166	13092471	NC_037643.1	Atf1_2892	62
gene-LOC411875	13088166	13092471	NC_037643.1	Atf1_2893	-72
gene-LOC552112	13209533	13213356	NC_037643.1	Atf1_2881	-85
gene-LOC552624	13083451	13087816	NC_037643.1	Atf1_2894	-5
gene-LOC552624	13083451	13087816	NC_037643.1	Atf1_2895	6
gene-LOC102654924	13154563	13158661	NC_037643.1	Atf1_2884	49
gene-LOC107964634	13110000	13110770	NC_037643.1	Atf1_2888	-95
gene-LOC107964634	13110000	13110770	NC_037643.1	Atf1_2889	-90
gene-LOC413173	13195495	13197036	NC_037643.1	Atf1_2882	36
gene-LOC413173	13195495	13197036	NC_037643.1	Atf1_2883	-13
gene-LOC408567	42764	45255	NC_037638.1	Atf1_5033	91
gene-LOC726544	134889	241308	NC_037638.1	Atf1_5029	33
gene-LOC410772	241925	245999	NC_037638.1	Atf1_5027	17
gene-LOC410772	241925	245999	NC_037638.1	Atf1_5028	-41
gene-LOC408565	117007	122443	NC_037638.1	Atf1_5032	-28
gene-LOC551555	10791	17180	NC_037638.1	Atf1_5034	-88
gene-LOC107963981	1629815	1631885	NC_037638.1	Atf1_5018	-59
gene-LOC410766	1030582	1035250	NC_037638.1	Atf1_5023	-88
gene-LOC726609	998601	1000877	NC_037638.1	Atf1_5024	59
gene-LOC726886	1056770	1147819	NC_037638.1	Atf1_5022	-69
gene-LOC726912	1172798	1385267	NC_037638.1	Atf1_5019	-97
gene-LOC726912	1172798	1385267	NC_037638.1	Atf1_5020	-25
gene-LOC726912	1172798	1385267	NC_037638.1	Atf1_5021	68
gene-LOC100578571	442752	446004	NC_037638.1	Atf1_5026	-16
gene-LOC113219407	2064922	2065787	NC_037638.1	Atf1_4999	98
gene-LOC113219182	1735762	1739459	NC_037638.1	Atf1_5011	-78
gene-LOC724372	1816643	1818580	NC_037638.1	Atf1_5008	-45
gene-LOC724372	1816643	1818580	NC_037638.1	Atf1_5009	-35
gene-LOC107964458	1845146	1846777	NC_037638.1	Atf1_5005	-54
gene-LOC410763	1681132	1682491	NC_037638.1	Atf1_5015	-26
gene-LOC413784	2198058	2205031	NC_037638.1	Atf1_4990	-22
gene-LOC413784	2198058	2205031	NC_037638.1	Atf1_4991	-10
gene-LOC410765	1684037	1686302	NC_037638.1	Atf1_5013	9
gene-LOC410765	1684037	1686302	NC_037638.1	Atf1_5014	-25
gene-LOC412610	2191809	2197321	NC_037638.1	Atf1_4992	67
gene-LOC113219395	1679733	1680960	NC_037638.1	Atf1_5016	-5
gene-LOC724874	1671097	1679110	NC_037638.1	Atf1_5017	3
gene-LOC727019	2113179	2114431	NC_037638.1	Atf1_4994	-8
gene-LOC727019	2113179	2114431	NC_037638.1	Atf1_4995	4
gene-LOC412118	2083649	2089200	NC_037638.1	Atf1_4998	38
gene-LOC100578245	2002612	2004111	NC_037638.1	Atf1_5002	-26
gene-LOC100578245	2002612	2004111	NC_037638.1	Atf1_5003	-16
gene-LOC102654998	1765421	1774133	NC_037638.1	Atf1_5010	75
gene-LOC113219396	1686730	1694432	NC_037638.1	Atf1_5012	-61
gene-LOC411808	2155196	2179386	NC_037638.1	Atf1_4993	23
gene-LOC102655775	1948728	1949231	NC_037638.1	Atf1_5004	61
gene-LOC413835	2043110	2048792	NC_037638.1	Atf1_5000	20
gene-LOC413835	2043110	2048792	NC_037638.1	Atf1_5001	46
gene-LOC409930	1840158	1841273	NC_037638.1	Atf1_5006	-78
gene-LOC409930	1840158	1841273	NC_037638.1	Atf1_5007	-75
gene-LOC107964165	2275939	2277457	NC_037638.1	Atf1_4989	-35
gene-LOC408623	2516016	2539536	NC_037638.1	Atf1_4984	91
gene-LOC726015	3193855	3197709	NC_037638.1	Atf1_4979	-65
gene-LOC726015	3193855	3197709	NC_037638.1	Atf1_4980	87
gene-LOC410758	2674335	3119466	NC_037638.1	Atf1_4983	4
gene-LOC100578472	2485958	2488154	NC_037638.1	Atf1_4985	-20
gene-LOC100578472	2485958	2488154	NC_037638.1	Atf1_4986	6
gene-LOC412000	2479747	2483349	NC_037638.1	Atf1_4987	99
gene-LOC551450	2453198	2465740	NC_037638.1	Atf1_4988	-46
gene-LOC725982	3187618	3194351	NC_037638.1	Atf1_4981	83
gene-LOC411968	3181510	3186227	NC_037638.1	Atf1_4982	0
gene-LOC412016	3279890	3281704	NC_037638.1	Atf1_4974	-82
gene-LOC102656720	3303219	3304635	NC_037638.1	Atf1_4971	-43
gene-LOC102656720	3303219	3304635	NC_037638.1	Atf1_4972	74
gene-LOC102656720	3303219	3304635	NC_037638.1	Atf1_4973	77
gene-LOC102653893	4406297	4409639	NC_037638.1	Atf1_4966	-47
gene-LOC102653893	4406297	4409639	NC_037638.1	Atf1_4967	42
gene-LOC102655185	3212400	3219482	NC_037638.1	Atf1_4978	57
gene-LOC100578752	3268132	3271806	NC_037638.1	Atf1_4975	75
gene-LOC408618	3993014	4375035	NC_037638.1	Atf1_4969	-41
gene-LOC107965102	3263963	3264813	NC_037638.1	Atf1_4976	49
gene-LOC107965102	3263963	3264813	NC_037638.1	Atf1_4977	52
gene-LOC409780	3291484	3749589	NC_037638.1	Atf1_4970	-90
gene-LOC408619	4377948	4386117	NC_037638.1	Atf1_4968	-63
gene-LOC413303	4790104	4804716	NC_037638.1	Atf1_4949	-22
gene-LOC113219256	4752333	4753718	NC_037638.1	Atf1_4952	-5
gene-LOC102653920	4440891	4444809	NC_037638.1	Atf1_4964	-69
gene-LOC102653920	4440891	4444809	NC_037638.1	Atf1_4965	-35
gene-LOC725317	4632904	4635958	NC_037638.1	Atf1_4955	-52
gene-LOC725574	4684298	4698440	NC_037638.1	Atf1_4953	17
gene-LOC725574	4684298	4698440	NC_037638.1	Atf1_4954	-41
gene-LOC551819	4768131	4770807	NC_037638.1	Atf1_4950	-94
gene-LOC551819	4768131	4770807	NC_037638.1	Atf1_4951	2
gene-LOC100577454	4569288	4571668	NC_037638.1	Atf1_4958	-12
gene-LOC102654398	4535964	4537097	NC_037638.1	Atf1_4960	52
gene-LOC551909	4576960	4579722	NC_037638.1	Atf1_4957	1
gene-LOC100577342	4532529	4535187	NC_037638.1	Atf1_4961	-53
gene-LOC100577342	4532529	4535187	NC_037638.1	Atf1_4962	-68
gene-LOC414038	4600848	4602360	NC_037638.1	Atf1_4956	-11
gene-LOC551321	4481769	4483475	NC_037638.1	Atf1_4963	-24
gene-LOC100578513	4551995	4553961	NC_037638.1	Atf1_4959	-54
gene-LOC726298	5148613	5200368	NC_037638.1	Atf1_4917	-22
gene-LOC100578445	5071913	5077640	NC_037638.1	Atf1_4925	50
gene-LOC408616	4829147	5010980	NC_037638.1	Atf1_4940	62
gene-LOC551443	4805534	4815895	NC_037638.1	Atf1_4948	-11
gene-LOC408614	5064872	5068039	NC_037638.1	Atf1_4926	97
gene-LOC408614	5064872	5068039	NC_037638.1	Atf1_4927	-78
gene-LOC102654549	4835927	4836289	NC_037638.1	Atf1_4941	-69
gene-LOC102654549	4835927	4836289	NC_037638.1	Atf1_4942	29
gene-LOC102654549	4835927	4836289	NC_037638.1	Atf1_4943	-30
gene-LOC102653866	5255737	5306615	NC_037638.1	Atf1_4915	21
gene-LOC107965891	5034679	5035325	NC_037638.1	Atf1_4928	18
gene-LOC107965891	5034679	5035325	NC_037638.1	Atf1_4929	21
gene-LOC410751	5098506	5104375	NC_037638.1	Atf1_4921	5
gene-LOC410751	5098506	5104375	NC_037638.1	Atf1_4922	27
gene-LOC410751	5098506	5104375	NC_037638.1	Atf1_4923	54
gene-LOC410751	5098506	5104375	NC_037638.1	Atf1_4924	-59
gene-LOC410754	5028704	5031269	NC_037638.1	Atf1_4932	-43
gene-LOC410754	5028704	5031269	NC_037638.1	Atf1_4933	75
gene-LOC410754	5028704	5031269	NC_037638.1	Atf1_4934	-71
gene-LOC410754	5028704	5031269	NC_037638.1	Atf1_4935	-84
